circle_id,name,description,tags,geo_hash,member_count,created_at
circle_00027,温馨民乐圈,欢迎热爱民乐的朋友加入！,民乐,wtw64dwc,156,2025-01-26 10:44:31
circle_00028,快乐广场舞圈,欢迎热爱广场舞的朋友加入！,广场舞,wtw2kzux,174,2025-01-17 03:31:21
circle_00029,智慧阅读圈,欢迎热爱阅读民乐的朋友加入！,阅读|民乐,wtw61vne,90,2025-04-09 01:55:59
circle_00030,快乐京剧圈,欢迎热爱京剧宠物的朋友加入！,京剧|宠物,wtw4ncqu,67,2024-09-16 05:56:28
circle_00031,智慧摄影圈,欢迎热爱摄影合唱家常菜的朋友加入！,摄影|合唱|家常菜,wtw1zzwu,299,2025-05-29 09:56:56
circle_00032,幸福健走圈,欢迎热爱健走的朋友加入！,健走,wtw98rs0,227,2024-12-17 05:45:12
circle_00033,幸福八段锦圈,欢迎热爱八段锦历史的朋友加入！,八段锦|历史,wtw0qu84,141,2024-10-27 15:39:13
circle_00034,温馨摄影圈,欢迎热爱摄影带孙辈京剧的朋友加入！,摄影|带孙辈|京剧,wtw364n6,191,2024-10-09 07:36:11
circle_00035,温馨合唱圈,欢迎热爱合唱的朋友加入！,合唱,wtwd0v9p,256,2025-03-26 17:26:21
circle_00036,活力绘画圈,欢迎热爱绘画的朋友加入！,绘画,wtw3qf3e,22,2025-01-05 04:35:13
circle_00037,幸福广场舞圈,欢迎热爱广场舞的朋友加入！,广场舞,wtw2bbqm,53,2024-10-11 02:12:51
circle_00038,幸福合唱圈,欢迎热爱合唱历史棋牌的朋友加入！,合唱|历史|棋牌,wtw962dy,108,2024-09-27 05:04:28
circle_00039,幸福八段锦圈,欢迎热爱八段锦维修钓鱼的朋友加入！,八段锦|维修|钓鱼,wtw2vr3e,14,2025-05-08 22:47:07
circle_00040,温馨太极圈,欢迎热爱太极宠物的朋友加入！,太极|宠物,wtw8bj8f,130,2024-09-01 16:49:08
circle_00041,幸福中医养生圈,欢迎热爱中医养生摄影书法班的朋友加入！,中医养生|摄影|书法班,wtw2fy54,74,2025-01-12 22:08:57
circle_00042,快乐园艺圈,欢迎热爱园艺健走的朋友加入！,园艺|健走,wtw2rhv8,38,2025-05-26 05:15:26
circle_00043,幸福家常菜圈,欢迎热爱家常菜的朋友加入！,家常菜,wtw63d0b,45,2024-12-06 21:05:32
circle_00044,活力家常菜圈,欢迎热爱家常菜维修的朋友加入！,家常菜|维修,wtw4pv7x,165,2025-02-05 03:22:21
circle_00045,智慧中医养生圈,欢迎热爱中医养生的朋友加入！,中医养生,wtw3fk4u,253,2024-11-13 02:32:04
circle_00046,活力带孙辈圈,欢迎热爱带孙辈书法广场舞的朋友加入！,带孙辈|书法|广场舞,wtw3cdx4,193,2025-01-30 01:55:54
circle_00047,温馨烘焙圈,欢迎热爱烘焙登山的朋友加入！,烘焙|登山,wtw1q0eb,156,2024-08-26 18:44:37
circle_00048,温馨智能手机圈,欢迎热爱智能手机棋牌登山的朋友加入！,智能手机|棋牌|登山,wtw1nzkk,283,2025-03-22 10:23:54
circle_00049,幸福维修圈,欢迎热爱维修智能手机合唱的朋友加入！,维修|智能手机|合唱,wtw3gfpy,39,2024-11-19 23:53:54
circle_00050,活力家常菜圈,欢迎热爱家常菜的朋友加入！,家常菜,wtw3v6b6,210,2024-11-23 23:41:23
circle_00051,活力短视频圈,欢迎热爱短视频合唱民乐的朋友加入！,短视频|合唱|民乐,wtw2kncq,5,2024-09-24 03:12:50
circle_00052,活力八段锦圈,欢迎热爱八段锦短视频的朋友加入！,八段锦|短视频,wtw1nj8t,77,2024-09-26 22:13:20
circle_00053,温馨棋牌圈,欢迎热爱棋牌短视频的朋友加入！,棋牌|短视频,wtw29tnf,230,2025-07-12 05:20:37
circle_00054,幸福书法圈,欢迎热爱书法的朋友加入！,书法,wtw8fzcy,165,2024-09-12 10:04:36
circle_00055,智慧带孙辈圈,欢迎热爱带孙辈的朋友加入！,带孙辈,wtw1n2cf,26,2025-05-24 02:23:35
circle_00056,快乐绘画圈,欢迎热爱绘画家常菜的朋友加入！,绘画|家常菜,wtw1nptu,172,2025-08-16 04:26:19
circle_00057,温馨阅读圈,欢迎热爱阅读的朋友加入！,阅读,wtw22gun,184,2024-09-26 05:20:39
circle_00058,温馨太极圈,欢迎热爱太极的朋友加入！,太极,wtw1n00x,106,2025-07-08 20:36:23
circle_00059,幸福合唱圈,欢迎热爱合唱的朋友加入！,合唱,wtw2g6c0,124,2025-07-06 18:26:50
circle_00060,幸福烘焙圈,欢迎热爱烘焙的朋友加入！,烘焙,wtw33u3k,111,2024-09-16 10:38:03
circle_00061,活力旅游圈,欢迎热爱旅游绘画按摩的朋友加入！,旅游|绘画|按摩,wtw3bfbx,21,2025-05-15 18:24:39
circle_00062,幸福登山圈,欢迎热爱登山带孙辈钓鱼的朋友加入！,登山|带孙辈|钓鱼,wtw3fh84,39,2024-10-28 08:43:20
circle_00063,活力书法圈,欢迎热爱书法的朋友加入！,书法,wtw3s1yb,66,2025-06-29 11:24:59
circle_00064,快乐登山圈,欢迎热爱登山民乐的朋友加入！,登山|民乐,wtw35zwg,66,2025-07-19 21:50:03
circle_00065,幸福书法圈,欢迎热爱书法八段锦摄影班的朋友加入！,书法|八段锦|摄影班,wtw3zq1c,37,2025-07-14 20:26:50
circle_00066,温馨书法圈,欢迎热爱书法的朋友加入！,书法,wtw93p2e,139,2024-09-13 03:01:17
circle_00067,幸福园艺圈,欢迎热爱园艺的朋友加入！,园艺,wtw2fyex,14,2025-03-26 10:44:50
circle_00068,幸福智能手机圈,欢迎热爱智能手机阅读维修的朋友加入！,智能手机|阅读|维修,wtw3w6ft,122,2024-11-14 18:25:32
circle_00069,快乐健走圈,欢迎热爱健走广场舞茶道的朋友加入！,健走|广场舞|茶道,wtw617fm,20,2025-05-04 07:47:05
circle_00070,快乐阅读圈,欢迎热爱阅读京剧维修的朋友加入！,阅读|京剧|维修,wtw0xcgq,203,2025-05-03 10:09:25
circle_00071,温馨钓鱼圈,欢迎热爱钓鱼京剧的朋友加入！,钓鱼|京剧,wtw0y8bq,8,2025-08-05 20:51:39
circle_00072,温馨英语圈,欢迎热爱英语的朋友加入！,英语,wtw6d2hc,87,2025-05-10 22:20:45
circle_00073,快乐编织圈,欢迎热爱编织的朋友加入！,编织,wtw3fmcz,72,2024-11-25 14:22:53
circle_00074,活力维修圈,欢迎热爱维修民乐的朋友加入！,维修|民乐,wtw3qunn,122,2025-01-09 22:05:46
circle_00075,智慧棋牌圈,欢迎热爱棋牌理财的朋友加入！,棋牌|理财,wtw3xec4,47,2025-04-22 12:48:15
circle_00076,活力英语圈,欢迎热爱英语插花的朋友加入！,英语|插花,wtw3u84v,217,2025-06-19 17:12:30
circle_00077,幸福绘画圈,欢迎热爱绘画的朋友加入！,绘画,wtw3ghxe,102,2025-02-27 20:37:44
circle_00078,活力棋牌圈,欢迎热爱棋牌的朋友加入！,棋牌,wtwd4hyx,208,2025-07-15 11:39:48
circle_00079,活力按摩圈,欢迎热爱按摩书法的朋友加入！,按摩|书法,wtw0zu40,220,2025-01-23 18:57:04
circle_00080,快乐太极圈,欢迎热爱太极的朋友加入！,太极,wtw4q0x8,124,2025-04-18 17:24:15
circle_00081,快乐按摩圈,欢迎热爱按摩的朋友加入！,按摩,wtw2kn31,123,2025-02-19 08:14:24
circle_00082,活力钓鱼圈,欢迎热爱钓鱼的朋友加入！,钓鱼,wtw1w88f,167,2024-09-03 18:50:17
circle_00083,快乐摄影圈,欢迎热爱摄影的朋友加入！,摄影,wtw1wzwb,236,2025-06-23 15:09:09
circle_00084,幸福智能手机圈,欢迎热爱智能手机的朋友加入！,智能手机,wtw939h1,256,2025-01-24 18:37:04
circle_00085,快乐摄影圈,欢迎热爱摄影阅读健走的朋友加入！,摄影|阅读|健走,wtw3wzt0,166,2024-12-27 21:15:36
circle_00086,活力钓鱼圈,欢迎热爱钓鱼摄影的朋友加入！,钓鱼|摄影,wtw3r5d2,79,2025-08-05 00:14:54
circle_00087,智慧太极圈,欢迎热爱太极摄影班的朋友加入！,太极|摄影班,wtw28gk3,78,2025-01-31 08:20:44
circle_00088,智慧剪纸圈,欢迎热爱剪纸钓鱼的朋友加入！,剪纸|钓鱼,wtw9429d,239,2025-03-15 16:14:57
circle_00089,快乐广场舞圈,欢迎热爱广场舞带孙辈的朋友加入！,广场舞|带孙辈,wtw2ctkm,213,2024-12-05 23:33:11
circle_00090,幸福书法班圈,欢迎热爱书法班民乐维修的朋友加入！,书法班|民乐|维修,wtw1ncbc,275,2024-10-17 00:19:47
circle_00091,温馨书法班圈,欢迎热爱书法班的朋友加入！,书法班,wtw63tpg,274,2024-10-09 02:57:55
circle_00092,幸福太极圈,欢迎热爱太极的朋友加入！,太极,wtw36sec,232,2025-02-11 17:08:39
circle_00093,活力登山圈,欢迎热爱登山的朋友加入！,登山,wtwd4xz4,37,2024-12-10 02:14:02
circle_00094,温馨登山圈,欢迎热爱登山的朋友加入！,登山,wtw4qgsf,30,2025-06-15 01:31:04
circle_00095,智慧绘画圈,欢迎热爱绘画短视频中医养生的朋友加入！,绘画|短视频|中医养生,wtw363fu,111,2025-08-07 20:17:44
circle_00096,活力家常菜圈,欢迎热爱家常菜合唱围棋的朋友加入！,家常菜|合唱|围棋,wtw3x7uc,291,2024-09-15 09:09:53
circle_00097,温馨历史圈,欢迎热爱历史插花园艺的朋友加入！,历史|插花|园艺,wtw0yz00,285,2024-09-17 01:51:34
circle_00098,快乐广场舞圈,欢迎热爱广场舞的朋友加入！,广场舞,wtw99gqr,137,2025-01-06 22:56:29
circle_00099,温馨健走圈,欢迎热爱健走摄影班的朋友加入！,健走|摄影班,wtw2evqy,128,2024-09-26 17:56:19
